MATCH_ID,MAP,TOURNAMENT,TEAM,SIDE,SCORE,RESULT,DURATION,HERO_1,HERO_2,HERO_3,HERO_4,HERO_5
10,1,Para Bellum 2020 Dota2 Tournament,MS Chonburi,dire,8,LOSE,25:48,Morphling,Pangolier,Ember Spirit,Oracle,Doom
10,2,Para Bellum 2020 Dota2 Tournament,KingPins,dire,19,LOSE,49:23,Venomancer,Leshrac,Gyrocopter,Earthshaker,Ancient Apparition
10,2,Para Bellum 2020 Dota2 Tournament,MS Chonburi,radiant,27,WIN,49:23,Invoker,Faceless Void,Shadow Demon,Omniknight,Winter Wyvern
10,3,Para Bellum 2020 Dota2 Tournament,KingPins,dire,11,LOSE,42:00,Necrophos,Clockwerk,Magnus,Slark,Snapfire
10,3,Para Bellum 2020 Dota2 Tournament,MS Chonburi,radiant,33,WIN,42:00,Zeus,Rubick,Phantom Lancer,Lich,Abaddon
11,1,Para Bellum 2020 Dota2 Tournament,Motivate.Trust Gaming,dire,7,LOSE,29:34,Ember Spirit,Winter Wyvern,Slark,Abaddon,Rubick
11,1,Para Bellum 2020 Dota2 Tournament,Neon Esports,radiant,27,WIN,29:34,Necrophos,Clockwerk,Drow Ranger,Magnus,Lich
11,2,Para Bellum 2020 Dota2 Tournament,Motivate.Trust Gaming,radiant,38,WIN,43:27,Kunkka,Outworld Devourer,Clockwerk,Timbersaw,Snapfire
11,2,Para Bellum 2020 Dota2 Tournament,Neon Esports,dire,14,LOSE,43:27,Venomancer,Winter Wyvern,Drow Ranger,Magnus,Lich
11,3,Para Bellum 2020 Dota2 Tournament,Motivate.Trust Gaming,dire,5,LOSE,23:51,Kunkka,Phantom Lancer,Chen,Centaur Warrunner,Disruptor
11,3,Para Bellum 2020 Dota2 Tournament,Neon Esports,radiant,26,WIN,23:51,Underlord,Leshrac,Undying,Lifestealer,Rubick
12,1,Para Bellum 2020 Dota2 Tournament,MS Chonburi,dire,28,WIN,65:53,Shadow Fiend,Pangolier,Keeper of the Light,Phantom Lancer,Winter Wyvern
12,1,Para Bellum 2020 Dota2 Tournament,Neon Esports,radiant,17,LOSE,65:53,Viper,Drow Ranger,Elder Titan,Omniknight,Rubick
12,2,Para Bellum 2020 Dota2 Tournament,MS Chonburi,radiant,8,LOSE,32:21,Alchemist,Shadow Demon,Riki,Abaddon,Lich
12,2,Para Bellum 2020 Dota2 Tournament,Neon Esports,dire,24,WIN,32:21,Nature's Prophet,Shadow Fiend,Slardar,Snapfire,Rubick
12,3,Para Bellum 2020 Dota2 Tournament,MS Chonburi,dire,11,LOSE,31:27,Lifestealer,Ancient Apparition,Clockwerk,Shadow Fiend,Treant Protector
12,3,Para Bellum 2020 Dota2 Tournament,Neon Esports,radiant,20,WIN,31:27,Beastmaster,Abaddon,Drow Ranger,Leshrac,Rubick
13,1,Para Bellum 2020 Dota2 Tournament,Army Geniuses,dire,19,LOSE,37:23,Zeus,Timbersaw,Earthshaker,Undying,Drow Ranger
