,MATCH_ID,MAP,TOURNAMENT,TEAM,SIDE,SCORE,RESULT,DURATION,HERO_1,HERO_2,HERO_3,HERO_4,HERO_5
36,10,1,ESL One Birmingham  2019,OG,radiant,18.0,LOSE,38:26,Arc Warden,Legion Commander,Keeper of the Light,Crystal Maiden,Troll Warlord
37,10,1,ESL One Birmingham  2019,Ninjas in Pyjamas,dire,39.0,WIN,38:26,Spectre,Zeus,Lina,Sand King,Chen
38,10,2,ESL One Birmingham  2019,OG,radiant,33.0,WIN,27:20,Storm Spirit,Lifestealer,Nature's Prophet,Crystal Maiden,Sand King
39,10,2,ESL One Birmingham  2019,Ninjas in Pyjamas,dire,14.0,LOSE,27:20,Enigma,Templar Assassin,Spectre,Oracle,Earthshaker
40,11,1,ESL One Birmingham  2019,OG,radiant,8.0,LOSE,28:34,Nyx Assassin,Anti-Mage,Grimstroke,Morphling,Abaddon
41,11,1,ESL One Birmingham  2019,Team Liquid,dire,34.0,WIN,28:34,Meepo,Sand King,Ancient Apparition,Earth Spirit,Razor
42,11,2,ESL One Birmingham  2019,OG,radiant,22.0,WIN,34:02,Zeus,Nyx Assassin,Warlock,Magnus,Troll Warlord
43,11,2,ESL One Birmingham  2019,Team Liquid,dire,25.0,LOSE,34:02,Sven,Outworld Devourer,Crystal Maiden,Earth Spirit,Earthshaker
44,12,1,ESL One Birmingham  2019,OG,radiant,7.0,LOSE,24:51,Phantom Lancer,Disruptor,Pangolier,Oracle,Magnus
45,12,1,ESL One Birmingham  2019,Vici Gaming,dire,33.0,WIN,24:51,Bloodseeker,Morphling,Shadow Shaman,Doom,Grimstroke
46,12,2,ESL One Birmingham  2019,OG,dire,23.0,LOSE,43:23,Monkey King,Omniknight,Ember Spirit,Leshrac,Earthshaker
47,12,2,ESL One Birmingham  2019,Vici Gaming,radiant,49.0,WIN,43:23,Templar Assassin,Morphling,Silencer,Zeus,Sand King
48,13,1,ESL One Birmingham  2019,Ninjas in Pyjamas,dire,25.0,LOSE,40:11,Ember Spirit,Dark Seer,Treant Protector,Luna,Io
49,13,1,ESL One Birmingham  2019,Team Liquid,radiant,20.0,WIN,40:11,Lone Druid,Beastmaster,Troll Warlord,Earthshaker,Chen
50,13,2,ESL One Birmingham  2019,Ninjas in Pyjamas,radiant,54.0,WIN,51:58,Monkey King,Night Stalker,Rubick,Troll Warlord,Abaddon
51,13,2,ESL One Birmingham  2019,Team Liquid,dire,16.0,LOSE,51:58,Mars,Morphling,Nature's Prophet,Dark Seer,Nyx Assassin
52,14,1,ESL One Birmingham  2019,Ninjas in Pyjamas,radiant,21.0,LOSE,44:48,Monkey King,Doom,Ogre Magi,Troll Warlord,Shadow Shaman
53,14,1,ESL One Birmingham  2019,Vici Gaming,dire,43.0,WIN,44:48,Sven,Death Prophet,Dark Seer,Disruptor,Nyx Assassin
54,14,2,ESL One Birmingham  2019,Ninjas in Pyjamas,dire,16.0,LOSE,30:09,Phantom Lancer,Monkey King,Puck,Abaddon,Sand King
55,14,2,ESL One Birmingham  2019,Vici Gaming,radiant,36.0,WIN,30:09,Spectre,Templar Assassin,Witch Doctor,Zeus,Wraith King
56,15,1,ESL One Birmingham  2019,Team Liquid,radiant,10.0,LOSE,22:08,Dazzle,Phantom Assassin,Phoenix,Earthshaker,Chen
57,15,1,ESL One Birmingham  2019,Vici Gaming,dire,23.0,WIN,22:08,Mars,Templar Assassin,Lion,Gyrocopter,Io
